"lng","lat","name","type","area_km2"
-0.11896820810336,51.640596755781,"Oakwood Park","Public Park Or Garden",0.260353040173242
-0.111922953251617,51.6325962114875,"Grovelands Park","Public Park Or Garden",0.369363127135712
-0.153050273684703,51.6379438337187,"Oak Hill Park","Public Park Or Garden",0.316965745933635
-0.153073546665454,51.6197765401036,"Bethune Park","Public Park Or Garden",0.126295946371911
-0.143688381015386,51.6281929322508,"Brunswick Park","Public Park Or Garden",0.190146365798355
-0.0679694205885898,51.6171944746532,"Pymmes Park","Public Park Or Garden",0.203813681623768
-0.0839185815420735,51.6256726740326,"Firs Farm Wetlands","Public Park Or Garden",0.206565478306116
-0.0574631446307394,51.6352084487533,"Jubilee Park","Public Park Or Garden",0.14098960510074
-0.128938938556519,51.6181281995018,"Arnos Park","Public Park Or Garden",0.165848526690373
-0.116483616140561,51.6180962843063,"Broomfield Park","Playing Field",0.210398132274549
-0.181780958536461,51.6352050702018,"Brook Farm Open Space","Public Park Or Garden",0.284429903395584
-0.180676995504597,51.6268647170693,"Whetstone Stray Open Space","Public Park Or Garden",0.113088246663839
-0.0993394422786768,51.6049557784666,"New River Sports And Recreation Centre","Other Sports Facility",0.118691430183303
-0.093454679889358,51.6098254836768,"Boundary Fields Outdoor Gym","Playing Field",0.102975148296143
-0.0192372919967549,51.5936463981483,"Lloyd Park","Public Park Or Garden",0.120155504883358
-0.0858476120308125,51.5943166191907,"Lordship Recreation Ground","Public Park Or Garden",0.232050498249941
-0.051991554189398,51.5953659998162,"Clendish Marsh","Public Park Or Garden",0.103543228833194
-0.1680884950662,51.6041856603236,"The Glebe Land Open Space","Public Park Or Garden",0.122260885533106
-0.12469061782442,51.5924413457264,"Alexandra Park","Public Park Or Garden",0.606991181717875
-0.0879558479686805,51.5888278146375,"Downhills Park","Public Park Or Garden",0.118040580682996
-0.040898932401427,51.583089259899,"Douglas Eyre Sports Centre","Other Sports Facility",0.123501388136508
-0.0572664029161989,51.5699713186521,"Springfield Park","Public Park Or Garden",0.134929973628157
-0.143199639447612,51.5678733696404,"Waterlow Park","Public Park Or Garden",0.101472635193716
-0.0999804653288634,51.5701021202148,"Finsbury Park","Public Park Or Garden",0.478004493811549
-0.0868217001184365,51.5608305521811,"Clissold Park","Public Park Or Garden",0.226844833879192
-0.0400676467348419,51.5734690543636,"Low Hall Sports Ground","Other Sports Facility",0.177493564029134
-0.0256606142200581,51.5643776012522,"Leyton Jubilee Park","Playing Field",0.14578813759293
-0.163126157066523,51.5635084006656,"Hampstead Heath","Public Park Or Garden",3.1648521293179
-0.187250568272839,51.5667361735952,"Golders Hill Park","Public Park Or Garden",0.144068261143728
-0.389198789700743,51.6318015188142,NA,"Other Sports Facility",0.111306478521621
-0.371244931049826,51.6418015823308,"Attenborough's Fields","Public Park Or Garden",0.270506582711609
-0.389336599208937,51.6451866600337,"Oxhey Park","Public Park Or Garden",0.12499525874165
-0.280914295049116,51.6256284496001,"Edgwarebury Park","Public Park Or Garden",0.15936540667039
-0.292236656932107,51.6109525506844,"Canons Park","Public Park Or Garden",0.183864032809772
-0.306130703538313,51.6249220905273,"Stanmore Country Park","Public Park Or Garden",0.752067621450611
-0.349450019750491,51.6111171440934,"The Bannister Sports Centre","Other Sports Facility",0.133926154403014
-0.237420165449357,51.6122805899768,NA,"Playing Field",0.130251931434378
-0.229423406581237,51.612720070846,"Arrandene Open Space","Public Park Or Garden",0.195691881736628
-0.224822637001503,51.6031235251544,"Copthall Sports Centre","Other Sports Facility",0.582020786387965
-0.304432418642041,51.607372871321,"Kilburn Grammar School Playing Field","Playing Field",0.105837440598419
-0.258605673159305,51.6062478877381,"Watling Park","Public Park Or Garden",0.104824324750879
-0.255621195350246,51.597378492149,"Montrose Playing Fields","Playing Field",0.105990749306895
-0.28150522884422,51.6048963906761,"Chandos Recreation Ground","Playing Field",0.100023653714601
-0.267983598092019,51.585828070146,"Roe Green Park","Public Park Or Garden",0.119783704477516
-0.227797292081616,51.5961181894689,"Sunnyhill Park","Public Park Or Garden",0.215370284490163
-0.299965849446001,51.5834459409273,"Woodcock Park","Public Park Or Garden",0.112937603597352
-0.317676474484636,51.5867890435974,NA,"Playing Field",0.213313808240986
